epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,21433,2.11117,0.43501,0.32395,1.16434,0.0035,0.00399,0.77706,0.54318,0.62982,0.32828,0,0,0,0,1.89375,0,2.26303,1.00488,0.00439,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,21748.3,2.1264,0.44624,0.32304,1.16923,0.00345,0.01117,0.77658,0.54394,0.62996,0.32866,0,0,0,0,1.8921,0,2.25832,1.00204,0.00438,0,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,22064.9,2.10587,0.42297,0.32218,1.15899,0.00342,0.00986,0.77506,0.54524,0.63041,0.32933,0,0,0,0,1.89013,0,2.2495,1.00243,0.00438,0,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,22384.1,2.11136,0.43385,0.32262,1.1605,0.00343,0.00679,0.77531,0.546,0.63169,0.32977,0,0,0,0,1.8889,0,2.24232,1.00181,0.00438,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,22707.5,2.10705,0.4309,0.32538,1.15456,0.00346,0.01071,0.77533,0.54597,0.63213,0.3299,0,0,0,0,1.88918,0,2.23804,1.0012,0.00437,0,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,23024.7,2.10721,0.42918,0.31966,1.1583,0.00344,0.05652,0.77597,0.54525,0.6325,0.33002,0,0,0,0,1.88888,0,2.24673,1.00042,0.00437,0,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,23345.8,2.12134,0.43514,0.32673,1.16712,0.00346,0.00899,0.77605,0.54621,0.63328,0.33069,0,0,0,0,1.88793,0,2.24537,1.00028,0.00437,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,23658.6,2.11491,0.42281,0.31793,1.15561,0.00342,0.00691,0.77321,0.54684,0.63288,0.33044,0,0,0,0,1.88939,0,2.24791,0.99854,0.00437,0,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,23974.5,2.11603,0.42763,0.32405,1.16134,0.00342,0.00755,0.7731,0.54809,0.63349,0.33058,0,0,0,0,1.88843,0,2.24366,0.99821,0.00437,0,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,24292.6,2.108,0.42116,0.32127,1.15698,0.00341,0.00264,0.7716,0.54943,0.6336,0.33064,0,0,0,0,1.88858,0,2.24851,0.99719,0.00437,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
