epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,19038.5,1.98893,0.35432,0.29426,1.05501,0.00315,0.00461,0.78627,0.57787,0.67249,0.35954,0,0,0,0,1.8087,0,2.30435,0.92743,0.00415,0,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
58,19362.7,1.99178,0.33946,0.2899,1.0541,0.00316,0.00567,0.78033,0.58301,0.67285,0.36007,0,0,0,0,1.80459,0,2.29705,0.92399,0.00414,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,19691.3,2.00134,0.34891,0.29399,1.0572,0.00314,0.00541,0.77974,0.58187,0.67126,0.35919,0,0,0,0,1.80801,0,2.2726,0.92537,0.00413,0,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,20017.4,1.98762,0.34922,0.29411,1.0553,0.00316,0.00441,0.77958,0.57998,0.67099,0.35975,0,0,0,0,1.80636,0,2.26176,0.92394,0.00413,0,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,20343.8,1.99226,0.34139,0.29731,1.058,0.00311,0.00362,0.77963,0.58197,0.67321,0.36175,0,0,0,0,1.80283,0,2.28515,0.92139,0.00412,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,20669.4,1.99633,0.33394,0.29024,1.0537,0.00312,0.00439,0.77764,0.57976,0.67213,0.36074,0,0,0,0,1.80427,0,2.30168,0.92199,0.00413,0,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,20996.5,1.9913,0.33543,0.29319,1.05207,0.00316,0.0089,0.77559,0.58089,0.67186,0.35963,0,0,0,0,1.80658,0,2.31694,0.91926,0.00413,0,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,21321.5,1.97119,0.33284,0.28734,1.03678,0.00313,0.00231,0.77395,0.58318,0.67272,0.36004,0,0,0,0,1.80594,0,2.34223,0.92086,0.00412,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,21648.8,1.98166,0.33116,0.28682,1.04652,0.00312,0.00655,0.77403,0.58323,0.67299,0.36061,0,0,0,0,1.80454,0,2.34042,0.91999,0.00412,0,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,21981.7,1.99601,0.34349,0.28774,1.05923,0.00311,0.00457,0.77279,0.58248,0.67219,0.36072,0,0,0,0,1.80389,0,2.33656,0.92089,0.00412,0,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
