epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,25302.9,1.90408,0.26051,0.27344,1.00484,0.00295,-2.22722,0.77707,0.58102,0.67031,0.35775,0,0,0,0,1.81071,0,1.94198,0.92869,0.0042,0,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,25623.5,1.90267,0.2547,0.27353,0.99965,0.00293,-2.24283,0.77451,0.58171,0.67028,0.35771,0,0,0,0,1.81174,0,1.94136,0.92856,0.0042,0,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,25944.8,1.89555,0.25467,0.26787,1.00311,0.00298,-2.22435,0.77607,0.58234,0.67108,0.35791,0,0,0,0,1.81115,0,1.94085,0.92776,0.0042,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,26269.6,1.91303,0.25979,0.2703,1.00803,0.00298,-2.18887,0.77677,0.58284,0.6715,0.35808,0,0,0,0,1.8119,0,1.93917,0.92663,0.00421,0,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,26594.2,1.88391,0.25504,0.26853,0.99366,0.00295,-2.20356,0.77686,0.58304,0.67148,0.35782,0,0,0,0,1.81295,0,1.93906,0.92737,0.00421,0,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,26915.3,1.89575,0.26083,0.26556,0.99301,0.00297,-2.24352,0.77451,0.58406,0.67113,0.35769,0,0,0,0,1.81338,0,1.9393,0.92807,0.00421,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,27243.2,1.90112,0.25309,0.2674,1.00578,0.00294,-2.26436,0.77328,0.58452,0.67138,0.35771,0,0,0,0,1.81336,0,1.93707,0.92813,0.00421,0,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,27564.9,1.88204,0.25157,0.26428,0.989,0.00294,-2.27568,0.77311,0.58464,0.671,0.35761,0,0,0,0,1.81453,0,1.93684,0.92759,0.00421,0,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,27888.3,1.89455,0.2604,0.2659,0.99421,0.00293,-2.2788,0.77466,0.58318,0.67097,0.35791,0,0,0,0,1.81451,0,1.93631,0.92717,0.00421,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,28206.9,1.88496,0.25787,0.26659,0.99195,0.00294,-2.2583,0.77632,0.58219,0.67073,0.35798,0,0,0,0,1.81504,0,1.93662,0.92696,0.00421,0,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
